    3    3   -4    250.     35.    -59. 0.58904E+17     33.    -38.    -29.           0.6313
    3    3   -3    249.     34.    -61. 0.62550E+17     33.    -38.    -29.           0.6646
    3    3   -2    248.     34.    -62. 0.65816E+17     32.    -38.    -30.           0.6878
    3    3   -1    247.     33.    -64. 0.68683E+17     32.    -37.    -31.           0.7001
    3    3    0    246.     33.    -66. 0.71116E+17     31.    -37.    -31.           0.7012
    3    3    1    246.     33.    -67. 0.73109E+17     31.    -37.    -32.           0.6911
    3    3    2    245.     32.    -69. 0.74636E+17     30.    -38.    -32.           0.6702
    3    3    3    244.     32.    -70. 0.75701E+17     29.    -38.    -33.           0.6394
    3    3    4    244.     32.    -72. 0.76286E+17     29.    -38.    -33.           0.5998
    3    3    5    243.     32.    -74. 0.76390E+17     28.    -39.    -34.           0.5528
    3    3    6    243.     31.    -76. 0.76017E+17     27.    -39.    -34.           0.5001
    3    4   -6    257.     38.    -54. 0.32290E+17     69.    -21.    -10.           0.5232
    3    4   -5    256.     37.    -56. 0.35370E+17     65.    -23.    -12.           0.5730
    3    4   -4    254.     37.    -58. 0.38282E+17     62.    -24.    -14.           0.6155
    3    4   -3    253.     36.    -60. 0.40996E+17     59.    -26.    -15.           0.6494
    3    4   -2    252.     35.    -61. 0.43487E+17     56.    -27.    -17.           0.6736
    3    4   -1    251.     35.    -63. 0.45731E+17     54.    -28.    -18.           0.6872
    3    4    0    250.     35.    -65. 0.47711E+17     51.    -29.    -19.           0.6898
    3    4    1    249.     34.    -66. 0.49411E+17     49.    -31.    -20.           0.6815
    3    4    2    249.     34.    -68. 0.50822E+17     47.    -32.    -21.           0.6626
    3    4    3    248.     34.    -69. 0.51931E+17     44.    -33.    -22.           0.6338
    3    4    4    247.     34.    -71. 0.52733E+17     42.    -35.    -23.           0.5963
    3    4    5    246.     33.    -73. 0.53229E+17     40.    -36.    -24.           0.5513
    3    4    6    246.     33.    -74. 0.53415E+17     37.    -38.    -25.           0.5005
    3    5   -6    258.     40.    -56. 0.27219E+17     85.      4.     11.           0.5187
    3    5   -5    257.     39.    -57. 0.29392E+17     91.     -0.      9.           0.5680
    3    5   -4    256.     38.    -59. 0.31413E+17     89.     -4.      7.           0.6101
    3    5   -3    255.     38.    -60. 0.33262E+17     87.     -8.      5.           0.6435
    3    5   -2    254.     37.    -62. 0.34921E+17     86.    -12.      2.           0.6674
    3    5   -1    253.     37.    -63. 0.36376E+17     84.    -16.      0.           0.6807
    3    5    0    252.     36.    -65. 0.37619E+17     79.    -19.     -2.           0.6832
    3    5    1    251.     36.    -66. 0.38637E+17     75.    -21.     -4.           0.6748
    3    5    2    251.     36.    -67. 0.39427E+17     70.    -24.     -6.           0.6559
    3    5    3    250.     36.    -69. 0.39985E+17     66.    -27.     -7.           0.6272
    3    5    4    249.     35.    -70. 0.40310E+17     62.    -30.     -9.           0.5897
    3    5    5    249.     35.    -72. 0.40405E+17     57.    -32.    -10.           0.5449
    3    5    6    248.     35.    -73. 0.40275E+17     53.    -35.    -12.           0.4942
    3    6   -6    260.     41.    -53. 0.25971E+17     49.     24.     28.           0.5133
    3    6   -5    259.     40.    -55. 0.27645E+17     54.     20.     26.           0.5619
    3    6   -4    257.     40.    -57. 0.29154E+17     58.     17.     25.           0.6034
    3    6   -3    256.     39.    -59. 0.30484E+17     63.     13.     24.           0.6365
    3    6   -2    255.     39.    -60. 0.31623E+17     67.     10.     23.           0.6600
    3    6   -1    255.     38.    -62. 0.32562E+17     72.      6.     22.           0.6732
    3    6    0    254.     38.    -63. 0.33294E+17     77.      3.     21.           0.6757
    3    6    1    253.     37.    -65. 0.33817E+17     79.     -1.     19.           0.6675
    3    6    2    252.     37.    -66. 0.34130E+17     77.     -5.     18.           0.6489
    3    6    3    251.     37.    -68. 0.34232E+17     74.     -9.     17.           0.6206
    3    6    4    251.     37.    -69. 0.34130E+17     71.    -13.     15.           0.5836
    3    6    5    250.     36.    -71. 0.33829E+17     68.    -18.     14.           0.5393
    3    6    6    249.     36.    -72. 0.33339E+17     65.    -23.     12.           0.4893
    4    3   -6    266.     54.    -57. 0.70350E+17     13.    -59.    -28.           0.6590
    4    3   -5    262.     50.    -55. 0.70347E+17     14.    -58.    -28.           0.6908
    4    3   -4    259.     46.    -54. 0.70002E+17     17.    -55.    -28.           0.7129
    4    3   -3    256.     43.    -54. 0.69330E+17     20.    -52.    -28.           0.7248
    4    3   -2    255.     40.    -54. 0.68365E+17     23.    -49.    -28.           0.7260
    4    3   -1    253.     38.    -55. 0.67132E+17     27.    -45.    -28.           0.7165
    4    3    0    253.     35.    -57. 0.65674E+17     31.    -41.    -27.           0.6967
    4    3    1    252.     33.    -59. 0.64035E+17     35.    -38.    -27.           0.6674
    4    3    2    251.     31.    -62. 0.62264E+17     40.    -34.    -27.           0.6298
    4    3    3    250.     29.    -65. 0.60414E+17     44.    -30.    -26.           0.5852
    4    3    4    249.     27.    -69. 0.58544E+17     47.    -27.    -26.           0.5354
    4    3    5    247.     25.    -74. 0.56708E+17     51.    -25.    -25.           0.4822
    4    3    6    245.     23.    -79. 0.54961E+17     53.    -23.    -24.           0.4275
