 trial position no.            7
 
 
 
 
 
 
 
 
 
 
 
 
   0.986710E+14  -0.176362E+14  -0.308028E+13  -0.441213E+14   0.432542E+13   0.242277E+14
  -0.176362E+14   0.229435E+15  -0.754508E+14   0.392722E+13   0.129064E+14   0.707797E+12
  -0.308028E+13  -0.754508E+14   0.241656E+15  -0.157344E+14   0.112845E+14   0.361986E+13
  -0.441213E+14   0.392722E+13  -0.157344E+14   0.292118E+15  -0.127860E+14  -0.599868E+14
   0.432542E+13   0.129064E+14   0.112844E+14  -0.127860E+14   0.330548E+15  -0.725556E+14
   0.242277E+14   0.707797E+12   0.361986E+13  -0.599868E+14  -0.725556E+14   0.410233E+15
 trial position no.           12
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.104346E+15  -0.179768E+14  -0.312659E+13  -0.466030E+14   0.553587E+13   0.272902E+14
  -0.179768E+14   0.207175E+15  -0.690321E+14   0.368522E+13   0.120556E+14  -0.113888E+12
  -0.312659E+13  -0.690321E+14   0.218751E+15  -0.161419E+14   0.122439E+14   0.416296E+13
  -0.466030E+14   0.368522E+13  -0.161419E+14   0.288915E+15  -0.375818E+14  -0.818868E+14
   0.553587E+13   0.120556E+14   0.122439E+14  -0.375818E+14   0.326026E+15  -0.104751E+15
   0.272902E+14  -0.113889E+12   0.416296E+13  -0.818868E+14  -0.104751E+15   0.474739E+15
 trial position no.           13
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.110514E+15  -0.184127E+14  -0.316532E+13  -0.491013E+14   0.651475E+13   0.303592E+14
  -0.184127E+14   0.190085E+15  -0.639554E+14   0.421857E+13   0.118310E+14  -0.133752E+13
  -0.316532E+13  -0.639554E+14   0.201057E+15  -0.164630E+14   0.132831E+14   0.454690E+13
  -0.491013E+14   0.421857E+13  -0.164630E+14   0.289620E+15  -0.584458E+14  -0.985246E+14
   0.651475E+13   0.118310E+14   0.132831E+14  -0.584458E+14   0.326041E+15  -0.131907E+15
   0.303592E+14  -0.133752E+13   0.454690E+13  -0.985246E+14  -0.131907E+15   0.545472E+15
 trial position no.           14
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
