 
 2D correlation for isub=           1
     5    0.6000    0.7797       235.   38. -103.        71.   53.  -80.   82.22  -14.48  0.28047E-07  0.22362E+17
     5    0.9000    0.7735       235.   38. -103.        71.   53.  -80.   81.94  -14.66  0.28735E-07  0.22239E+17
     5    1.2000    0.7612       234.   37. -103.        71.   54.  -80.   81.65  -14.84  0.30085E-07  0.21945E+17
     5    1.5000    0.7429       234.   37. -103.        71.   54.  -80.   81.35  -15.03  0.32054E-07  0.21483E+17
     5    1.8000    0.7188       234.   37. -103.        71.   54.  -80.   81.04  -15.23  0.34578E-07  0.20857E+17
     5    2.1000    0.6890       234.   37. -103.        70.   54.  -80.   80.72  -15.45  0.37574E-07  0.20074E+17
     6   -2.1000    0.5721        68.   51.  -84.       239.   40.  -97.   66.96   11.98  0.48125E-07  0.13777E+17
     6   -1.8000    0.6176       238.   39.  -98.        69.   51.  -83.   67.91   11.15  0.44248E-07  0.14894E+17
     6   -1.5000    0.6587       237.   39.  -99.        69.   51.  -82.   68.84   10.42  0.40500E-07  0.15910E+17
     6   -1.2000    0.6948       237.   39. -100.        70.   52.  -82.   69.76    9.77  0.36999E-07  0.16814E+17
     6   -0.9000    0.7257       236.   39. -101.        70.   52.  -81.   70.66    9.19  0.33859E-07  0.17596E+17
     6   -0.6000    0.7511       235.   39. -102.        70.   52.  -81.   71.55    8.64  0.31182E-07  0.18250E+17
     6   -0.3000    0.7706       235.   39. -103.        71.   52.  -80.   72.45    8.14  0.29055E-07  0.18767E+17
     6    0.0000    0.7841       234.   38. -103.        71.   53.  -80.   73.34    7.65  0.27551E-07  0.19143E+17
     6    0.3000    0.7915       234.   38. -104.        71.   53.  -79.   74.25    7.18  0.26718E-07  0.19375E+17
     6    0.6000    0.7927       233.   38. -104.        71.   53.  -79.   75.18    6.72  0.26585E-07  0.19460E+17
     6    0.9000    0.7876       233.   38. -104.        71.   53.  -79.   76.14    6.26  0.27157E-07  0.19396E+17
     6    1.2000    0.7764       233.   38. -105.        71.   53.  -79.   77.15    5.78  0.28418E-07  0.19186E+17
     6    1.5000    0.7590       232.   38. -105.        71.   54.  -79.   78.22    5.28  0.30325E-07  0.18830E+17
     6    1.8000    0.7357       232.   38. -105.        71.   54.  -79.   79.36    4.76  0.32818E-07  0.18332E+17
     6    2.1000    0.7066       232.   38. -105.        71.   54.  -79.   80.60    4.18  0.35814E-07  0.17697E+17
     7   -2.1000    0.5696        68.   51.  -85.       240.   39.  -96.   36.76   26.96  0.48323E-07  0.13429E+17
     7   -1.8000    0.6165        69.   51.  -84.       239.   39.  -98.   38.06   26.08  0.44343E-07  0.14512E+17
     7   -1.5000    0.6590        69.   52.  -82.       237.   39.  -99.   39.29   25.32  0.40470E-07  0.15497E+17
     7   -1.2000    0.6966       236.   39. -101.        70.   52.  -81.   40.46   24.65  0.36827E-07  0.16375E+17
     7   -0.9000    0.7289       235.   39. -102.        70.   52.  -81.   41.59   24.04  0.33531E-07  0.17136E+17
     7   -0.6000    0.7556       235.   39. -103.        71.   52.  -80.   42.69   23.49  0.30688E-07  0.17774E+17
     7   -0.3000    0.7766       234.   39. -103.        71.   52.  -79.   43.76   22.98  0.28392E-07  0.18280E+17
     7    0.0000    0.7915       233.   39. -104.        71.   53.  -79.   44.83   22.49  0.26718E-07  0.18652E+17
     7    0.3000    0.8003       233.   39. -105.        71.   53.  -79.   45.91   22.02  0.25721E-07  0.18885E+17
     7    0.6000    0.8028       232.   39. -105.        71.   53.  -78.   47.00   21.56  0.25435E-07  0.18975E+17
     7    0.9000    0.7990       232.   39. -105.        71.   53.  -78.   48.12   21.10  0.25870E-07  0.18924E+17
     7    1.2000    0.7889       232.   39. -106.        71.   53.  -78.   49.29   20.63  0.27012E-07  0.18731E+17
     7    1.5000    0.7727       231.   39. -106.        71.   53.  -78.   50.52   20.15  0.28824E-07  0.18398E+17
     7    1.8000    0.7505       231.   39. -106.        71.   53.  -78.   51.84   19.65  0.31247E-07  0.17928E+17
     7    2.1000    0.7224       231.   38. -106.        71.   53.  -78.   53.27   19.10  0.34201E-07  0.17326E+17
     8   -2.1000    0.5739        69.   50.  -85.       240.   40.  -97.   23.48   34.62  0.47972E-07  0.14217E+17
     8   -1.8000    0.6213        70.   51.  -83.       238.   40.  -99.   24.35   33.92  0.43917E-07  0.15312E+17
     8   -1.5000    0.6643        70.   51.  -81.       237.   40. -101.   25.19   33.31  0.39966E-07  0.16302E+17
     8   -1.2000    0.7024        71.   51.  -80.       235.   40. -102.   26.02   32.77  0.36245E-07  0.17179E+17
     8   -0.9000    0.7351       234.   40. -104.        72.   52.  -79.   26.83   32.29  0.32874E-07  0.17933E+17
     8   -0.6000    0.7623       233.   40. -105.        72.   52.  -78.   27.63   31.86  0.29962E-07  0.18558E+17
     8   -0.3000    0.7837       232.   40. -106.        72.   52.  -77.   28.42   31.46  0.27601E-07  0.19046E+17
     8    0.0000    0.7989       232.   40. -106.        73.   52.  -77.   29.20   31.08  0.25873E-07  0.19393E+17
     8    0.3000    0.8080       231.   40. -107.        73.   52.  -76.   30.00   30.73  0.24832E-07  0.19595E+17
     8    0.6000    0.8107       231.   40. -107.        73.   53.  -76.   30.81   30.38  0.24515E-07  0.19651E+17
     8    0.9000    0.8071       230.   40. -108.        73.   53.  -76.   31.65   30.04  0.24932E-07  0.19559E+17
     8    1.2000    0.7972       230.   40. -108.        73.   53.  -76.   32.52   29.69  0.26070E-07  0.19320E+17
     8    1.5000    0.7811       229.   39. -108.        72.   53.  -75.   33.43   29.34  0.27892E-07  0.18937E+17
